y,F1,F2,F3,F4
1,4,-0.27626038,-0.05860901,0.035324097
1,14,-0.543808,-0.07081604,0.11228943
1,26,-0.43141174,-0.17955017,0.07319641
1,35,-0.1907196,-0.24064636,0.035324097
1,43,-0.053894043,-0.223526,0.014556885
1,53,-0.0050354,-0.15390015,-0.009872437
1,62,0.036499023,-0.08670044,-0.034301758
1,73,0.07803345,-0.03416443,-0.061187744
1,81,0.10002136,0.014678955,-0.077056885
1,91,0.09513855,0.047668457,-0.08439636
1,100,0.073135376,0.05255127,-0.08805847
1,111,0.041381836,0.029327393,-0.08073425
1,119,0.00352478,-0.014648438,-0.06607056
1,130,-0.03678894,-0.07081604,-0.056289673
1,138,-0.074661255,-0.13313293,-0.053848267
1,148,-0.10032654,-0.19055176,-0.057525635
1,158,-0.10765076,-0.23452759,-0.053848267
1,167,-0.10154724,-0.26997375,-0.04774475
1,177,-0.086883545,-0.27973938,-0.022094727
1,187,-0.044128418,-0.2687378,-0.004989624
1,196,0.034057617,-0.24432373,-0.009872437
,,,,
1,2,-0.11253357,-0.047607422,-0.003768921
1,10,-0.4985962,0.03666687,0.13916016
1,17,-0.51937866,0.04888916,0.13916016
1,27,-0.2542572,0.057434082,0.098846436
1,36,-0.02458191,0.11853027,0.07807922
1,45,0.06581116,0.19059753,0.05000305
1,56,0.08047485,0.2236023,0.019439697
1,66,0.07925415,0.19303894,-0.015975952
1,74,0.069488525,0.13806152,-0.053848267
1,84,0.045043945,0.09408569,-0.07461548
1,95,0.012084961,0.079422,-0.07829285
1,103,-0.027023315,0.083099365,-0.06851196
1,112,-0.051452637,0.0965271,-0.05140686
1,126,-0.053894043,0.098968506,-0.037963867
1,134,-0.031906128,0.07698059,-0.03552246
1,142,-0.007476807,0.04156494,-0.04408264
1,151,0.015731812,0.008560181,-0.05506897
1,162,0.03894043,-0.020751953,-0.061187744
1,171,0.062149048,-0.056167603,-0.056289673
1,180,0.08291626,-0.10992432,-0.04774475
1,190,0.09390259,-0.15757751,-0.033081055
1,201,0.09269714,-0.14657593,-0.014755249
,,,,
1,3,0.29670715,-0.008529663,-0.08805847
1,10,-0.20295715,0.10386658,0.08052063
1,21,-0.4509735,0.12097168,0.15626526
1,30,-0.29580688,0.008560181,0.10372925
1,39,-0.057556152,-0.024398804,0.06951904
1,47,0.046279907,0.008560181,0.052444458
1,56,0.06336975,0.057434082,0.015792847
1,66,0.07069397,0.08432007,-0.020858765
1,75,0.08169556,0.079422,-0.046524048
1,86,0.076812744,0.044006348,-0.05996704
1,96,0.036499023,-0.028076172,-0.061187744
1,105,-0.038009644,-0.14535522,-0.061187744
1,117,-0.12965393,-0.27973938,-0.06484985
1,126,-0.21516418,-0.39335632,-0.06362915
1,135,-0.2701416,-0.46910095,-0.05506897
1,144,-0.2982483,-0.52163696,-0.037963867
1,153,-0.3214569,-0.53752136,-0.001327515
1,163,-0.3141327,-0.52163696,0.047561646
1,173,-0.24205017,-0.50086975,0.054885864
,,,,
1,6,-0.2909088,0.023239136,0.09396362
1,16,-0.6195679,0.10997009,0.19291687
1,26,-0.5230408,0.07209778,0.16726685
1,34,-0.26037598,0.05621338,0.13916016
1,43,-0.08566284,0.102645874,0.11228943
1,52,0.008407593,0.18450928,0.06951904
1,61,0.07803345,0.24681091,0.018234253
1,71,0.11956787,0.27612305,-0.03552246
1,82,0.11956787,0.28712463,-0.07217407
1,91,0.09025574,0.28102112,-0.08317566
1,101,0.0438385,0.24313354,-0.07949829
1,111,-0.007476807,0.1783905,-0.07095337
1,122,-0.05267334,0.0977478,-0.06484985
1,130,-0.08200073,0.017120361,-0.06484985
1,138,-0.090545654,-0.05128479,-0.05996704
1,148,-0.067337036,-0.09892273,-0.053848267
1,157,-0.028244019,-0.13069153,-0.050186157
1,167,0.010848999,-0.15145874,-0.04286194
1,178,0.046279907,-0.16490173,-0.033081055
1,187,0.085372925,-0.14901733,-0.020858765
,,,,
1,4,-0.044128418,-0.15878296,0.02067566
1,12,-0.5071564,-0.002426148,0.19535828
1,23,-0.55236816,0.019561768,0.18313599
1,32,-0.2799225,0.050109863,0.12083435
1,41,-0.04901123,0.14906311,0.084198
1,50,0.059692383,0.27978516,0.039001465
1,59,0.13911438,0.36042786,-0.012313843
1,69,0.1928711,0.36164856,-0.06607056
1,78,0.1928711,0.32987976,-0.10762024
1,88,0.14645386,0.27612305,-0.12594604
1,97,0.07069397,0.19671631,-0.12226868
1,107,-0.012359619,0.0977478,-0.10882568
1,116,-0.086883545,0.007354736,-0.08929443
1,126,-0.12841797,-0.068374634,-0.06729126
1,135,-0.12597656,-0.12947083,-0.04774475
1,145,-0.09664917,-0.16856384,-0.040420532
1,154,-0.053894043,-0.18933105,-0.040420532
1,164,-0.009918213,-0.19543457,-0.040420532
1,173,0.03529358,-0.19422913,-0.037963867
1,183,0.08291626,-0.19543457,-0.024536133
1,193,0.12934875,-0.15757751,-0.012313843
,,,,
1,10,0.025512695,-0.15512085,0.01335144
1,21,-0.45462036,-0.085494995,0.18069458
1,29,-0.49127197,-0.15390015,0.16726685
1,37,-0.26281738,-0.15634155,0.12205505
1,48,-0.102767944,-0.0549469,0.10372925
